Date, Open, High, Low, Close, Volume
07/12/24, 512.49, 518.03, 512.17, 514.55, 5238170
07/11/24, 516.00, 516.79, 510.825, 511.39, 5546308
07/10/24, 511.98, 516.185, 511.69, 515.81, 3446923
07/09/24, 511.21, 512.01, 510.54, 510.89, 3145823
07/08/24, 510.50, 511.205, 509.32, 510.33, 3143379
07/05/24, 507.13, 510.10, 506.49, 509.84, 3156922
07/03/24, 504.22, 507.14, 504.22, 506.81, 2131086
07/02/24, 499.69, 504.61, 499.61, 504.53, 4210083
07/01/24, 501.49, 501.6799, 498.60, 501.28, 4368526
06/28/24, 502.97, 505.73, 499.01, 500.13, 5598571
06/27/24, 503.00, 504.48, 502.32, 503.85, 3619655
06/26/24, 501.47, 503.77, 500.89, 503.07, 3202700
06/25/24, 501.71, 502.83, 500.32, 502.51, 6336724
06/24/24, 502.03, 504.4395, 500.43, 500.43, 7022844
06/21/24, 502.10, 503.2157, 500.85, 501.78, 4347838
06/20/24, 505.14, 505.74, 501.19, 502.88, 4810867
06/18/24, 503.05, 504.3552, 502.63, 504.28, 3431665
06/17/24, 498.48, 504.18, 497.91, 502.94, 4609539
06/14/24, 497.26, 499.04, 496.29, 498.98, 5812046
06/13/24, 499.30, 499.45, 496.06, 498.58, 8808879
06/12/24, 497.93, 500.15, 496.71, 497.64, 3698787
06/11/24, 490.99, 493.66, 489.109, 493.53, 4028423
06/10/24, 490.17, 492.69, 489.56, 492.41, 3465222
06/07/24, 490.55, 493.53, 489.54, 490.80, 3063587
06/06/24, 491.84, 492.18, 489.6401, 491.44, 21343961
06/05/24, 487.87, 491.55, 486.06, 491.55, 3026146
06/04/24, 484.00, 486.41, 482.56, 485.74, 2560269
06/03/24, 486.30, 486.41, 480.40, 485.15, 4211256
05/31/24, 481.24, 484.91, 476.475, 484.62, 5333971
05/30/24, 482.12, 482.7504, 479.20, 480.44, 3393589
05/29/24, 483.19, 484.68, 482.96, 483.69, 5604961
05/28/24, 487.40, 487.645, 484.525, 487.12, 4034716
05/24/24, 485.18, 487.40, 484.33, 486.73, 2555241
05/23/24, 489.91, 489.99, 482.29, 483.44, 3811307
05/22/24, 487.79, 488.43, 484.94, 487.06, 3250581
05/21/24, 486.53, 488.58, 486.35, 488.48, 2453576
05/20/24, 486.78, 488.6099, 486.45, 487.17, 2599585
05/17/24, 486.09, 486.73, 484.70, 486.69, 3274035
05/16/24, 487.05, 488.57, 485.83, 485.97, 3347381
